word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
B AY Z,3,1.0441932900240278,-12.769875144060062,1.1037247029670203,-10.28855527901635,1.2680273675558016,-11.564319422789213,1.0760808023824562,-6.590356237019124,1.5233193310445807,-9.778039349420036,1.1847645091808199,-5.463797767269567,1.0570270601719967,-21.852874701805565,1.0032852900094553,-13.040018258815033,1.0117819758058317,-24.980120026153052,1.0028533384059348,-13.48597954004944
D AY Z,3,1.0552905579781082,-12.33759724886804,1.114996118656831,-10.088086399902007,1.3107947192376121,-10.847641744819073,1.1075767383744561,-6.074147438163326,1.5402465220353785,-9.377855608091103,1.2008243944876862,-4.994687674928981,1.0707781873135656,-20.935728144721082,1.0057663997421722,-12.323340580844894,1.013718738951996,-24.14765838963209,1.0034028702470779,-12.853986782642824
D R AY S,4,1.1600249176826556,-13.500572774490374,1.2121881667675647,-12.83054421109614,1.4468505829329792,-12.669071108749405,1.2117624693879834,-8.090349698942353,1.3838189986081877,-14.322152990160811,1.1332764094182424,-9.517101509362428,1.0803301137567511,-25.499615319845546,1.00937266282709,-17.89181109498919,1.0220422091396775,-30.401545288664426,1.003846722888001,-20.14411884042522
F L IH JH,4,1.1459553261546678,-14.267090207377496,1.1354451265671734,-14.028640085542364,1.5926992326689455,-12.144890623686756,1.2819010766285088,-7.709082362832306,1.521500178733946,-12.664214138189207,1.2872566721209817,-7.720160610311899,1.0605303790491731,-26.173530709229116,1.0124937382498653,-17.201309241243244,1.0165393424227982,-29.510123869579946,1.0111280197831463,-17.389498624938078
F R OW,3,1.0849870962000534,-11.361309723907299,1.1512363276780324,-9.65671122120987,1.3606880626775317,-9.921601916045507,1.2068495424434535,-4.600468420269388,1.3548158200987055,-10.438247359216081,1.1364793433053813,-5.507346679252805,1.0595455993334437,-19.57831313725538,1.0129144767657903,-10.095266045503509,1.0113438984275327,-24.23176261579633,1.004459662249276,-12.267097151183314
G EY R,3,1.0887069502536264,-11.158338612677316,1.126785683980238,-9.925085902649512,1.1458055187655103,-inf,1.0394736842105263,-inf,1.1379188160247842,-inf,1.0649350649350648,-inf,1.0328454117554284,-inf,1.0010149994361115,-inf,1.0066557019229292,-inf,1.0008982732018683,-inf
G L IH P,4,1.1627213669128773,-13.485856830491468,1.140600008587546,-13.474980477820242,1.4892973302832833,-12.552499529381965,1.2915251207689409,-7.124392233008061,1.304710312456968,-14.7640711050562,1.2534465841130973,-8.120286648329863,1.0418708845543805,-26.027480007202207,1.0101559186533435,-17.17748724767089,1.0130808368046484,-30.828747459560905,1.010208610741234,-18.078261207180198
R AY F,3,1.0855744415769333,-11.315212177121612,1.1166876416943927,-9.96445479382681,1.2419317419983118,-12.0215127597831,1.0583828161305313,-7.086314623489393,1.1714753898777606,-13.367500802527804,1.041706843758218,-7.785726942008679,1.0658761378427657,-21.98596755360991,1.0025540768950119,-13.364067975437688,1.0105907127595803,-27.11491851232237,1.0018176822437808,-14.813697369976653
S T IH N,4,1.2688528966806087,-10.814691989876218,1.2055299830169028,-12.614181649459645,1.6426412380120403,-10.447912697336156,1.3424025344206387,-6.555104747981737,1.8818261147479456,-9.043299041150906,1.594609051354548,-4.941361009979081,1.1348775394356525,-23.062094346795803,1.0207913400508832,-15.991027267724043,1.059716863673394,-22.436810555040363,1.036586139116099,-13.26166890986587
S T IH P,4,1.226964492302216,-11.652908153150262,1.1953650424722155,-12.860219020639708,1.5768387701274849,-11.096955031998611,1.2990749780948154,-7.0824596736989385,1.539295904955353,-12.079414400283072,1.4679666135575111,-6.651548825513325,1.130631853051568,-23.957174052638315,1.0191930789589512,-16.518382193441244,1.0361682831978112,-26.311142077446572,1.027011603576184,-14.971856725400112
