word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
B L IY G IH F,6,1.2061226305953547,-21.285602250970626,1.1974584339029302,-21.66084409847328,1.3170796536465785,-23.51663135270282,1.1973412945705333,-17.67733611307039,1.2930351335075516,-23.544155163633754,1.2048447617295925,-16.853553503149946,1.0602248192938692,-45.1774754511761,1.0092144704786863,-34.492816831283974,1.0134497440705843,-47.7018049212982,1.0075349269756726,-34.273238980524994
B L EH Z IH G,6,1.1944825131262795,-21.89701032444915,1.1952574776234284,-22.179967538144822,1.4686710398233442,-20.507147412560812,1.3210787203986196,-15.145411678296792,1.3363440692991975,-22.108940830164073,1.2708500054845346,-15.7061722476464,1.0622298547103415,-42.687114950705634,1.0109573221810333,-32.22559988212772,1.013280661573697,-46.877998661307046,1.0076934457760023,-33.131897684932376
B R IY G IH F,6,1.2072973213491145,-21.26431799054181,1.2425695199523268,-20.970807340327728,1.4309577061517649,-22.360841420350038,1.311073963680948,-16.52906605909542,1.4621777439217563,-21.717070482393915,1.3621249740007406,-15.332511465280309,1.0700906130501737,-43.33164876067777,1.0191783063126734,-32.64699014078565,1.0200823892893927,-45.85343597962954,1.0166550419546423,-32.42487003885634
B R EH P IH D,6,1.2360327489543474,-19.850933991550622,1.2993980849443751,-18.467060697053633,1.925321838083984,-17.241026186686312,1.4101889964488605,-13.31452632676594,1.631235281361171,-18.552924180872083,1.3221921582523863,-14.087177491274245,1.0923540136057344,-35.70808688373995,1.024876432159332,-28.19626015021462,1.0245169620486652,-41.27590567911652,1.013991926109103,-29.806812953946253
B W IY G IH F,6,1.1576933345198896,-23.465058633510914,1.1630612307902652,-23.078686817328098,1.2555740695236126,-inf,1.1348569790340535,-inf,1.263288373353114,-inf,1.1487313226746325,-inf,1.054362634424449,-inf,1.003319635733587,-inf,1.0103370890142491,-inf,1.0032549193667701,-inf
B W AA S IH P,6,1.2034973747441489,-21.826161454220728,1.2014643994972958,-21.681320204311454,1.5173065976630762,-inf,1.4118674273840743,-inf,1.415235948005088,-inf,1.3079398470133015,-inf,1.060940934691593,-inf,1.0105758827111375,-inf,1.0162626619733464,-inf,1.0098810052205525,-inf
D G EH P IH D,6,1.2038800391563589,-20.911943163116522,1.2273267691579255,-20.803283767044817,1.7106264720301552,-inf,1.183863070845313,-inf,1.4846244264535995,-inf,1.1566900010579868,-inf,1.0881230061000673,-inf,1.009247001078211,-inf,1.0209278017738292,-inf,1.0069431234544417,-inf
D G AA T IH F,6,1.2179852273738543,-21.14460859892499,1.2427745732645952,-21.439999899671825,1.364933050527844,-inf,1.2664336293590457,-inf,1.369009035399187,-inf,1.2948054871327703,-inf,1.0765128445282302,-inf,1.016322969602377,-inf,1.0195059716863675,-inf,1.0137488639485976,-inf
D N IY G IH F,6,1.236424312538934,-20.55196505801937,1.2190490105265401,-21.255534799029633,1.1939709912862977,-inf,1.0620030781028382,-inf,1.2296254104308395,-28.412025757479626,1.1174593492531915,-21.663718072298437,1.0650137726810804,-inf,1.0026892271141818,-inf,1.0135342853190281,-51.83603832219281,1.005537590091518,-38.607941260533956
D N AA T IH F,6,1.2792649283616624,-19.371246494836655,1.291325379625258,-19.38850428838255,1.3722412210146304,-inf,1.2736285231994946,-inf,1.3366829539728735,-26.0738902636921,1.2649668597619903,-19.602166827307123,1.0773022885340946,-inf,1.0171253078452562,-inf,1.0199056212244648,-48.317184265222565,1.0142983957897407,-35.08908720356371
D R IY G IH F,6,1.2183945893031949,-20.832040095349786,1.2538409356421374,-20.770338461213385,1.3518380839293154,-23.012603384747134,1.2206829257686878,-17.381296902606856,1.4099019672873787,-22.459705122237587,1.3086258775307278,-16.00621975411233,1.0775297474054488,-43.78294184596052,1.0153438639984746,-33.298752105182736,1.0208816883655873,-46.16379272428119,1.0156405216325322,-32.93569566262233
D R EH P IH D,6,1.2471300169084278,-19.4186560963586,1.3106695006341857,-18.266591817939293,1.8462022158615345,-17.892788151083405,1.3197979585366002,-14.166757170277375,1.5789595047267935,-19.29555882071575,1.2686930617823735,-14.760885780106266,1.0997931479610095,-36.1593799690227,1.0210419898451333,-28.84802211461171,1.0253162611248599,-41.58626242376817,1.012977405786993,-30.31763857771224
D W EH Z IH G,6,1.1571504850048948,-23.644188811797413,1.172131690200574,-23.397341377885297,1.435176637567226,-23.391205283900593,1.2747224639057302,-18.246219314355052,1.369118712571548,-24.7916915146047,1.2706335850502153,-18.67928249255483,1.066680379614844,-46.788546661785894,1.0040854565187918,-36.527500472322316,1.012412192385139,-51.307927833095945,1.004385686809122,-37.762295735835615
D W AA T IH F,6,1.2116312182966984,-21.852062175136172,1.2466090155787937,-21.011187427566668,1.5700402406765497,-21.2200164436879,1.4713503191267507,-15.565270848808298,1.4587065304534943,-23.11022281166899,1.3813775999986018,-16.986564960449194,1.0789374700660472,-42.231203871254564,1.0187845311547172,-31.74701413047679,1.019751909863658,-47.83433249349898,1.014087037389301,-34.606235431840126
F L EH Z IH G,6,1.1907181632108217,-22.099658496621004,1.189509055621625,-22.300111849986887,1.536812149547519,-19.96580624486887,1.3949682521245979,-14.483926198762788,1.372122772499884,-21.646077782857194,1.3171415367602641,-15.095710380248608,1.0593556437094398,-42.265918094855756,1.0138331539166823,-31.684258714435778,1.0129271254438414,-46.617783786172026,1.0082852492972332,-32.75153849795529
F L AA T IH F,6,1.2451988965026253,-20.30753185995976,1.2639863809998446,-19.913957899668258,1.5473884457608407,-18.86183283926361,1.4666155323650434,-12.870193167823475,1.4233960560420431,-20.72485942267242,1.380482440608303,-14.163243190893901,1.0687932912825557,-38.775790738931875,1.025666734828039,-27.970987807197687,1.0191831778286733,-43.904438789325994,1.0164965231543126,-30.35572853671073
F N IY B IH D,6,1.244415769333452,-20.058620893908355,1.2312207451522696,-20.234513468858786,1.7324983819698099,-inf,1.2309088329588644,-inf,1.4988082875680655,-26.042639032395318,1.205036805927079,-20.565601086907773,1.0708787074458146,-inf,1.0089903272336482,-inf,1.0199517346327067,-48.97330743299749,1.0087925094582884,-37.38407039598516
F N EH Z IH G,6,1.2099225772003206,-21.79829919886177,1.1998282165554244,-22.095271429657583,1.3044333537629504,-inf,1.1610865380256872,-inf,1.2508310310361306,-27.774474184460324,1.1762657092067754,-21.235327108166008,1.049040359827389,-inf,1.0034578109501755,-inf,1.0105522849193784,-52.44482089001591,1.005019762010441,-38.57857560179919
F R EH P IH D,6,1.2322683990388896,-20.053582163722474,1.2936496629425718,-18.587205008895694,1.890881891298843,-17.56212425605794,1.3814974716655228,-13.5154800842955,1.6074434629043926,-18.8634629086519,1.3057820347977172,-14.250117398963148,1.084407665544418,-36.149329264953636,1.0226772667144237,-28.517358219586242,1.023133559801405,-41.78909257906819,1.0131676283473885,-30.19985554205586
F R AA S IH P,6,1.2493370116579159,-19.82806898342347,1.275224266657554,-19.69358503915315,1.5068484183472088,-20.43269654529001,1.407832024058861,-14.565241543189355,1.3934177356741668,-20.75625989124737,1.3003909799571356,-14.735595491439677,1.0656211780901053,-40.126281584443156,1.02108334474829,-29.439261688365356,1.017607636380405,-43.45637638136467,1.0128083190666413,-30.629800846182594
F W IY B IH D,6,1.1767820592684881,-22.539436574207876,1.1865043811058054,-21.857196608042905,1.8053728758969354,-inf,1.3037627338900797,-inf,1.5437745033222574,-inf,1.2365091670301185,-inf,1.0714989848789938,-inf,1.0096207358530533,-inf,1.0182993375040348,-inf,1.0065204066535625,-inf
F W EH Z IH G,6,1.1422888671353566,-24.27911487916129,1.15511185250896,-23.7179545688417,1.415432004235285,-inf,1.2719976682654033,-inf,1.3509730657045893,-inf,1.2690879899961194,-inf,1.0494914706878828,-inf,1.0039162899461065,-inf,1.0100604085647968,-inf,1.0043434151290342,-inf
G L EH P IH D,6,1.2268666014060696,-20.36556241609046,1.22920809898515,-19.838109903293137,1.884808499784622,-17.977844993985137,1.3956048519843778,-13.362812807593006,1.5376145902897786,-20.21088132508238,1.2689470250797166,-14.732684483486544,1.0593833113036148,-37.81595489727828,1.0169294941356986,-29.623115715658997,1.0185837035215275,-43.448491247866656,1.0105362162619154,-31.298386074602433
G L AA T IH F,6,1.240971789623565,-20.598227851898923,1.2446559030918194,-20.474826035920145,1.504753069185622,-19.588316440091152,1.4433106336978498,-13.035808632399123,1.372566640268909,-21.693844485080767,1.346392788720072,-14.573419564765366,1.0459123174322402,-40.0631424760113,1.0221142368016491,-28.697471408025226,1.0158630124352492,-45.164119843673504,1.0155559782723564,-31.054541454806355
G R IY B IH D,6,1.2221589392186527,-20.629391923177934,1.2466821923598417,-20.310185267294422,2.0998760024890175,-16.845507344128105,1.6184296864089294,-12.178445000581977,1.8309048006190016,-18.940063173976654,1.5684169981816978,-13.199038857008153,1.0675019860475499,-37.15569261142252,1.0250846844292074,-28.962853429803246,1.0258542508876831,-42.441502603848406,1.0205334686027097,-30.291397430584183
G R AA T IH F,6,1.2421464803773248,-20.576943591470105,1.2897669891412162,-19.784789277774593,1.6933968647778124,-18.422621142249838,1.6317316128165034,-11.877633212935615,1.5307754164404948,-20.156984127463033,1.5072074411684802,-13.342601850517838,1.054650175141746,-38.20741042002443,1.0309272700611605,-26.84173935203836,1.0179381158061394,-43.60597522562695,1.0184093166782915,-29.4963968367598
G W IY B IH D,6,1.1725549523894279,-22.83013256614704,1.1671739031977801,-22.41806474429479,1.7948143278134716,-20.57243860419034,1.3125346637146411,-15.914137267870544,1.5443303890505957,-22.101793920179897,1.2578995413616694,-16.41401287132065,1.0523939352847647,-42.990503348485134,1.0098462912833004,-34.79766416686585,1.0158783835713296,-47.803973993020755,1.006816308414178,-35.65386881975654
G W AA T IH F,6,1.1925424935481,-22.77768423443921,1.2102586999791547,-21.892668754774963,1.539737059261145,-20.932334371236113,1.4773974533109853,-14.396107449148223,1.4411167693148739,-21.120171930518936,1.4012223792760568,-14.35903292168299,1.042643511544857,-42.82500312601108,1.018840920012279,-31.459332058025005,1.0149791721106107,-46.76990367165196,1.0143406674698285,-32.66032528278481
K L IY B IH D,6,1.2591261012725818,-19.25343345248676,1.2750607366080104,-19.649645746922168,1.908713553283218,-17.45125093956161,1.353922990300336,-14.127244996155486,1.612792024348681,-20.46008340155698,1.2822926657271352,-15.663199289384059,1.1341127477466106,-37.10089668648377,1.0181094580459928,-30.258633783382308,1.029512581274882,-42.58556436073755,1.0117832308245092,-31.786035465991144
K L AA S IH P,6,1.2820770668327848,-18.74280650467146,1.2842723329976975,-19.59391365503278,1.4765965756148431,-20.643209562030492,1.3236438454104924,-15.557942823817953,1.3900663341282884,-21.111822493963345,1.2519688110434255,-15.476489610414346,1.1161146098305543,-40.237123217063264,1.0173453086693358,-30.339811463251394,1.0249319827228431,-42.726676505328626,1.0127237757064653,-30.68980911241248
