word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
r rz,2,1.095449500554939,-6.180461442819372,1.071680790960452,-6.8501261661455,1.8402777777777777,-5.662960480135947,1.4285714285714286,-0.8472978603872037,1.4410714285714286,-7.8012425218387165,1.2,-1.6094379124341003,1.0512447033898304,-12.513086646281447,1.0084745762711864,-4.770684624465665,1.0171206225680933,-15.899592888841646,1.0058027079303675,-5.149430585840319
w rz,2,1.0710321864594894,-6.679452608938359,1.063868290960452,-7.320129795391236,1.4574652777777777,-inf,1.0,-inf,1.3796875,-inf,1.0,-inf,1.0356197033898304,-inf,1.0,-inf,1.0124513618677042,-inf,1.0,-inf
m rz,2,1.0821309655937845,-6.42162349963626,1.0925141242937855,-6.156978985585555,1.5486111111111112,-6.761572768804056,1.0666666666666667,-2.70805020110221,1.4310606060606061,-7.965545573129992,1.0384615384615385,-3.258096538021482,1.0668697033898307,-12.918551754389611,1.002824858757062,-5.869296913133774,1.0217898832684824,-16.30505799694981,1.001934235976789,-6.248042874508429
l ni,2,1.065482796892342,-6.924901917766867,1.0519067796610169,-7.342602651243295,2.145833333333333,-5.950642552587727,1.1428571428571428,-1.9459101490553135,2.0471491228070176,-7.508787170634276,1.125,-2.0794415416798357,1.0545109463276836,-13.293245203831022,1.002824858757062,-5.869296913133774,1.0233463035019454,-16.3515780125847,1.001934235976789,-6.248042874508429
sz p,2,1.0843507214206438,-6.334612122646629,1.0975017655367232,-6.042287142498845,1.4952996001031993,-6.0112671744041615,1.2222222222222223,-1.5040773967762742,1.3161458333333336,-7.100548135643386,1.1481481481481481,-1.9095425048844386,1.071195268361582,-12.053554316903007,1.0112994350282485,-4.483002552013883,1.022568093385214,-15.353049182473573,1.0077369439071566,-4.861748513388538
sz f,2,1.1032186459489457,-5.947839147550617,1.091852048022599,-6.167450285452851,1.7021107456140352,-6.461468176353717,1.0555555555555556,-2.890371757896165,1.338630110062893,-8.026317611472086,1.037037037037037,-3.295836866004329,1.0775070621468927,-12.628918461806569,1.002824858757062,-5.869296913133774,1.0264591439688715,-15.89204568320626,1.001934235976789,-6.248042874508429
m n,2,1.072142064372919,-6.778298443574991,1.0783898305084747,-6.482401386020183,2.02724358974359,-6.030685260261263,1.0666666666666667,-2.70805020110221,1.969155844155844,-7.062326922823189,1.0384615384615385,-3.258096538021482,1.0781691384180792,-12.513086646281447,1.002824858757062,-5.869296913133774,1.0280155642023345,-15.75851429058174,1.001934235976789,-6.248042874508429
g dzi,2,1.042175360710322,-8.227113161676215,1.0553495762711864,-7.8309554191572275,2.1024305555555554,-5.950642552587727,1.0588235294117647,-2.833213344056216,1.7934187788018434,-6.830730235797922,1.0384615384615385,-3.258096538021482,1.0579537429378532,-13.781597971744954,1.002824858757062,-5.869296913133774,1.0186770428015564,-16.975732321657695,1.001934235976789,-6.248042874508429
rz v,2,1.102108768035516,-6.078678748509429,1.0768891242937855,-6.626982614831291,1.6260416666666668,-6.643789733147672,1.1111111111111112,-2.1972245773362196,1.384106182795699,-7.305188215393037,1.1578947368421053,-1.845826690498331,1.0540695621468927,-13.270772347978962,1.002824858757062,-5.869296913133774,1.022568093385214,-15.301755888086024,1.0058027079303675,-5.149430585840319
p sz,2,1.0843507214206438,-6.334612122646629,1.0894685734463276,-6.214137399425503,1.5994178921568627,-6.08417394521225,1.125,-2.0794415416798357,1.4526041666666665,-6.726265954971911,1.1,-2.3025850929940455,1.0692531779661016,-12.298311344637753,1.0056497175141244,-5.176149732573829,1.02568093385214,-14.978767001802098,1.0058027079303675,-5.149430585840319
