word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
K R,2,1.2234042553191489,-4.442198665398635,1.3454545454545455,-3.920321808242841,2.3227272727272728,-4.007333185232471,1.3333333333333333,-1.0986122886681098,2.3227272727272728,-4.007333185232471,1.3333333333333333,-1.0986122886681098,1.3636363636363635,-7.927654993475312,1.0303030303030303,-3.4965075614664802,1.1275167785234899,-10.367448018695004,1.0512820512820513,-2.9704144655697013
G R,2,1.1808510638297873,-5.135345845958581,1.3454545454545455,-3.920321808242841,2.3227272727272728,-4.007333185232471,1.3333333333333333,-1.0986122886681098,2.3227272727272728,-4.007333185232471,1.3333333333333333,-1.0986122886681098,1.3636363636363635,-7.927654993475312,1.0303030303030303,-3.4965075614664802,1.1208053691275168,-11.06059519925495,1.0256410256410255,-3.6635616461296463
K L,2,1.180851063829787,-4.809923445523953,1.2545454545454546,-4.325786916351006,2.3227272727272728,-4.007333185232471,1.3333333333333333,-1.0986122886681098,2.3227272727272728,-4.007333185232471,1.3333333333333333,-1.0986122886681098,1.2727272727272727,-8.333120101583477,1.0303030303030303,-3.4965075614664802,1.1006711409395973,-10.735172798820322,1.0512820512820513,-2.9704144655697013
S T,2,1.202127659574468,-4.838094322490649,1.315151515151515,-4.171636236523748,1.8974025974025972,-4.007333185232471,1.1538461538461537,-1.8718021769015913,1.7974025974025971,-4.230476736546681,1.1538461538461537,-1.8718021769015913,1.321212121212121,-8.178969421756218,1.0606060606060606,-2.803360380906535,1.1208053691275168,-10.986487227101229,1.0512820512820513,-2.9704144655697013
S M,2,1.1702127659574468,-5.754385054364803,1.2848484848484847,-4.864783417083693,2.325974025974026,-4.007333185232471,1.0769230769230769,-2.5649493574615367,2.325974025974026,-4.007333185232471,1.0769230769230769,-2.5649493574615367,1.3030303030303028,-8.872116602316163,1.0303030303030303,-3.4965075614664802,1.1140939597315438,-11.679634407661172,1.0256410256410255,-3.6635616461296463
P R,2,1.202127659574468,-4.729880737850416,1.3272727272727272,-4.208003880694622,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,1.3454545454545452,-8.215337065927093,1.0303030303030303,-3.4965075614664802,1.1208053691275168,-10.655130091146786,1.0512820512820513,-2.9704144655697013
T R,2,1.1914893617021276,-4.91220229464437,1.3272727272727272,-4.208003880694622,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,2.4545454545454546,-3.8250116284385163,1.6666666666666665,-0.40546510810816444,1.3454545454545452,-8.215337065927093,1.0303030303030303,-3.4965075614664802,1.1208053691275168,-10.655130091146786,1.0512820512820513,-2.9704144655697013
D R,2,1.1702127659574468,-5.423027918410361,1.3272727272727272,-4.208003880694622,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,1.3454545454545452,-8.215337065927093,1.0303030303030303,-3.4965075614664802,1.1140939597315438,-11.348277271706731,1.0256410256410255,-3.6635616461296463
B L,2,1.127659574468085,-5.7907526985356785,1.2363636363636363,-4.613468988802786,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,1.2545454545454544,-8.620802174035259,1.0303030303030303,-3.4965075614664802,1.0872483221476512,-11.71600205183205,1.0256410256410255,-3.6635616461296463
F L,2,1.127659574468085,-5.7907526985356785,1.2363636363636363,-4.613468988802786,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,1.2545454545454544,-8.620802174035259,1.0303030303030303,-3.4965075614664802,1.0872483221476512,-11.71600205183205,1.0256410256410255,-3.6635616461296463
S L,2,1.2446808510638299,-4.250307657588531,1.4363636363636363,-3.0730239478556376,2.325974025974026,-4.007333185232471,1.0769230769230769,-2.5649493574615367,2.325974025974026,-4.007333185232471,1.0769230769230769,-2.5649493574615367,1.4545454545454544,-7.080357133088109,1.0303030303030303,-3.4965075614664802,1.161073825503356,-10.1755570108849,1.0256410256410255,-3.6635616461296463
B R,2,1.1702127659574468,-5.423027918410361,1.3272727272727272,-4.208003880694622,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,1.3454545454545452,-8.215337065927093,1.0303030303030303,-3.4965075614664802,1.1140939597315438,-11.348277271706731,1.0256410256410255,-3.6635616461296463
F R,2,1.1702127659574468,-5.423027918410361,1.3272727272727272,-4.208003880694622,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,1.3454545454545452,-8.215337065927093,1.0303030303030303,-3.4965075614664802,1.1140939597315438,-11.348277271706731,1.0256410256410255,-3.6635616461296463
S P,2,1.2127659574468086,-4.655772765696694,1.3454545454545452,-3.766171128415583,1.8021645021645019,-4.007333185232471,1.2307692307692308,-1.466337068793427,1.8021645021645019,-4.007333185232471,1.2307692307692308,-1.466337068793427,1.3393939393939391,-7.773504313648054,1.0909090909090908,-2.3978952727983707,1.12751677852349,-10.581022118993065,1.0769230769230769,-2.5649493574615367
P L,2,1.1595744680851063,-5.097605517975733,1.2363636363636363,-4.613468988802786,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,2.3878787878787877,-4.007333185232471,1.5,-0.6931471805599453,1.2545454545454544,-8.620802174035259,1.0303030303030303,-3.4965075614664802,1.0939597315436242,-11.022854871272104,1.0512820512820513,-2.9704144655697013
S N,2,1.1702127659574468,-5.754385054364803,1.2848484848484847,-4.864783417083693,2.325974025974026,-4.007333185232471,1.0769230769230769,-2.5649493574615367,2.325974025974026,-4.007333185232471,1.0769230769230769,-2.5649493574615367,1.3030303030303028,-8.872116602316163,1.0303030303030303,-3.4965075614664802,1.1140939597315438,-11.679634407661172,1.0256410256410255,-3.6635616461296463
M R,2,1.1595744680851063,-5.828493026518526,1.2909090909090908,-5.306616169362732,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.2909090909090908,-inf,1.0,-inf,1.0939597315436242,-inf,1.0,-inf
SH R,2,1.1595744680851063,-5.828493026518526,1.309090909090909,-4.613468988802786,2.536363636363636,-4.007333185232471,2.0,0.0,2.536363636363636,-4.007333185232471,2.0,0.0,1.3272727272727272,-8.620802174035259,1.0303030303030303,-3.4965075614664802,1.1073825503355705,-11.753742379814895,1.0256410256410255,-3.6635616461296463
G L,2,1.1382978723404256,-5.503070626083899,1.2545454545454546,-4.325786916351006,2.3227272727272728,-4.007333185232471,1.3333333333333333,-1.0986122886681098,2.3227272727272728,-4.007333185232471,1.3333333333333333,-1.0986122886681098,1.2727272727272727,-8.333120101583477,1.0303030303030303,-3.4965075614664802,1.0939597315436242,-11.428319979380268,1.0256410256410255,-3.6635616461296463
SH L,2,1.1170212765957446,-6.196217806643843,1.2181818181818183,-5.018934096910951,2.036363636363636,-inf,1.0,-inf,2.036363636363636,-inf,1.0,-inf,1.2181818181818183,-inf,1.0,-inf,1.0738255033557047,-inf,1.0,-inf
S K,2,1.2340425531914894,-4.3680906932449135,1.3757575757575755,-3.4784890559638018,1.79025974025974,-4.007333185232471,1.3076923076923077,-1.1786549963416462,1.79025974025974,-4.007333185232471,1.3076923076923077,-1.1786549963416462,1.3575757575757574,-7.4858222411962725,1.121212121212121,-2.1102132003465894,1.1342281879194631,-10.293340046541282,1.1025641025641026,-2.277267285009756
V R,2,1.148936170212766,-6.521640207078471,1.2909090909090908,-5.306616169362732,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.2909090909090908,-inf,1.0,-inf,1.0939597315436242,-inf,1.0,-inf
S R,2,1.2872340425531916,-3.8825828774632125,1.5272727272727271,-2.667558839747473,2.2545454545454544,-inf,1.0,-inf,2.2545454545454544,-inf,1.0,-inf,1.5272727272727271,-inf,1.0,-inf,1.1812080536912752,-inf,1.0,-inf
V L,2,1.1063829787234043,-6.8893649872037885,1.2,-5.7120812774708964,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.2,-inf,1.0,-inf,1.0671140939597317,-inf,1.0,-inf
M L,2,1.1170212765957446,-6.196217806643843,1.2,-5.7120812774708964,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.2,-inf,1.0,-inf,1.0671140939597317,-inf,1.0,-inf
F P,2,1.0957446808510638,-6.196217806643843,1.1454545454545453,-5.306616169362732,1.3878787878787877,-inf,1.0,-inf,1.3878787878787877,-inf,1.0,-inf,1.0848484848484847,-inf,1.0,-inf,1.0335570469798658,-inf,1.0,-inf
SH T,2,1.0744680851063828,-6.784004471545962,1.096969696969697,-6.117546385579061,1.5363636363636364,-inf,1.0,-inf,1.4363636363636365,-inf,1.0,-inf,1.0666666666666667,-inf,1.0,-inf,1.0268456375838926,-inf,1.0,-inf
ZH R,2,2.1382978723404253,-inf,1.2727272727272727,-inf,2.0,-inf,1.0,-inf,2.0,-inf,1,-inf,1.2727272727272727,-inf,1.0,-inf,1.087248322147651,-inf,1,-inf
F SH,2,1.053191489361702,-7.294830095311953,1.0545454545454545,-inf,1.0545454545454545,-inf,1.0,-inf,1.5545454545454545,-inf,1.0,-inf,1.0545454545454545,-inf,1.0,-inf,1.0268456375838928,-inf,1.0,-inf
SH N,2,1.0425531914893615,-7.700295203420117,1.0666666666666667,-6.8106935661390064,2.036363636363636,-inf,1.0,-inf,2.036363636363636,-inf,1.0,-inf,1.0666666666666667,-inf,1.0,-inf,1.0268456375838926,-inf,1.0,-inf
F T,2,1.0851063829787233,-6.378539363437797,1.115151515151515,-5.712081277470896,1.5545454545454545,-inf,1.0,-inf,1.4545454545454546,-inf,1.0,-inf,1.0848484848484847,-inf,1.0,-inf,1.0335570469798658,-inf,1.0,-inf
N R,2,1.1595744680851063,-5.828493026518526,1.2909090909090908,-5.306616169362732,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.2909090909090908,-inf,1.0,-inf,1.0939597315436242,-inf,1.0,-inf
Z R,2,1.148936170212766,-6.521640207078471,1.2909090909090908,-5.306616169362732,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.2909090909090908,-inf,1.0,-inf,1.0939597315436242,-inf,1.0,-inf
SH M,2,1.0425531914893615,-7.700295203420117,1.0666666666666667,-6.8106935661390064,2.036363636363636,-inf,1.0,-inf,2.036363636363636,-inf,1.0,-inf,1.0666666666666667,-inf,1.0,-inf,1.0268456375838926,-inf,1.0,-inf
S F,2,1.1808510638297873,-5.34891994625664,1.2545454545454544,-inf,1.2545454545454544,-inf,1.0,-inf,1.5878787878787877,-inf,1.0,-inf,1.2545454545454544,-inf,1.0,-inf,1.1006711409395975,-inf,1.0,-inf
F S,2,1.1808510638297873,-5.34891994625664,1.0545454545454545,-inf,1.0545454545454545,-inf,1.0,-inf,1.1259740259740258,-inf,1.0,-inf,1.0545454545454545,-inf,1.0,-inf,1.0268456375838928,-inf,1.0,-inf
Z L,2,1.1063829787234043,-6.8893649872037885,1.2,-5.7120812774708964,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.2,-inf,1.0,-inf,1.0671140939597317,-inf,1.0,-inf
Z T,2,1.0638297872340425,-7.477151652105907,1.0787878787878786,-6.8106935661390064,1.518181818181818,-inf,1.0,-inf,1.418181818181818,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
V Z,2,1.021276595744681,-9.086589564540008,1.018181818181818,-inf,1.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.018181818181818,-inf,1.0,-inf,1.0134228187919465,-inf,1.0,-inf
ZH L,2,2.095744680851064,-inf,1.1818181818181819,-inf,2.0,-inf,1.0,-inf,2.0,-inf,1,-inf,1.1818181818181819,-inf,1.0,-inf,1.0604026845637584,-inf,1,-inf
SH F,2,1.053191489361702,-7.294830095311953,1.0363636363636364,-inf,1.0363636363636364,-inf,1.0,-inf,1.3696969696969696,-inf,1.0,-inf,1.0363636363636364,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
Z N,2,1.0319148936170213,-8.393442383980062,1.0484848484848484,-7.503840746698952,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
F N,2,1.053191489361702,-7.294830095311953,1.0848484848484847,-6.405228458030841,2.0545454545454547,-inf,1.0,-inf,2.0545454545454547,-inf,1.0,-inf,1.0848484848484847,-inf,1.0,-inf,1.0335570469798658,-inf,1.0,-inf
V T,2,1.0638297872340425,-7.477151652105907,1.0787878787878786,-6.8106935661390064,1.518181818181818,-inf,1.0,-inf,1.418181818181818,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
Z V,2,1.021276595744681,-9.086589564540008,1.018181818181818,-inf,1.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.018181818181818,-inf,1.0,-inf,1.0134228187919465,-inf,1.0,-inf
F K,2,1.1170212765957446,-5.908535734192062,1.1757575757575758,-5.01893409691095,1.3045454545454545,-inf,1.0,-inf,1.3045454545454545,-inf,1.0,-inf,1.0848484848484847,-inf,1.0,-inf,1.0335570469798658,-inf,1.0,-inf
F M,2,1.053191489361702,-7.294830095311953,1.0848484848484847,-6.405228458030841,2.0545454545454547,-inf,1.0,-inf,2.0545454545454547,-inf,1.0,-inf,1.0848484848484847,-inf,1.0,-inf,1.0335570469798658,-inf,1.0,-inf
Z M,2,1.0319148936170213,-8.393442383980062,1.0484848484848484,-7.503840746698952,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
ZH M,2,2.021276595744681,-inf,1.0303030303030303,-inf,2.0,-inf,1.0,-inf,2.0,-inf,1,-inf,1.0303030303030303,-inf,1.0,-inf,1.0134228187919463,-inf,1,-inf
SH P,2,1.0851063829787233,-6.601682914752008,1.1272727272727272,-5.7120812774708964,1.3696969696969696,-inf,1.0,-inf,1.3696969696969696,-inf,1.0,-inf,1.0666666666666667,-inf,1.0,-inf,1.0268456375838926,-inf,1.0,-inf
V M,2,1.0319148936170213,-8.393442383980062,1.0484848484848484,-7.503840746698952,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
V N,2,1.0319148936170213,-8.393442383980062,1.0484848484848484,-7.503840746698952,2.018181818181818,-inf,1.0,-inf,2.018181818181818,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
Z P,2,1.074468085106383,-7.294830095311953,1.109090909090909,-6.405228458030842,1.3515151515151513,-inf,1.0,-inf,1.3515151515151513,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
ZH P,2,2.0638297872340425,-inf,1.0909090909090908,-inf,1.3333333333333333,-inf,1.0,-inf,1.3333333333333333,-inf,1,-inf,1.0303030303030303,-inf,1.0,-inf,1.0134228187919463,-inf,1,-inf
ZH T,2,2.0531914893617023,-inf,1.0606060606060606,-inf,1.5,-inf,1.0,-inf,1.4,-inf,1,-inf,1.0303030303030303,-inf,1.0,-inf,1.0134228187919463,-inf,1,-inf
SH K,2,1.106382978723404,-6.314000842300226,1.1575757575757577,-5.424399205019116,1.2863636363636364,-inf,1.0,-inf,1.2863636363636364,-inf,1.0,-inf,1.0666666666666667,-inf,1.0,-inf,1.0268456375838926,-inf,1.0,-inf
ZH K,2,2.0851063829787235,-inf,1.121212121212121,-inf,1.25,-inf,1.0,-inf,1.25,-inf,1,-inf,1.0303030303030303,-inf,1.0,-inf,1.0134228187919463,-inf,1,-inf
ZH N,2,2.021276595744681,-inf,1.0303030303030303,-inf,2.0,-inf,1.0,-inf,2.0,-inf,1,-inf,1.0303030303030303,-inf,1.0,-inf,1.0134228187919463,-inf,1,-inf
V P,2,1.074468085106383,-7.294830095311953,1.109090909090909,-6.405228458030842,1.3515151515151513,-inf,1.0,-inf,1.3515151515151513,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
ZH V,2,2.0106382978723403,-inf,1.0,-inf,1.0,-inf,1.0,-inf,2.0,-inf,1,-inf,1.0,-inf,1.0,-inf,1.0067114093959733,-inf,1,-inf
V K,2,1.0957446808510638,-7.0071480228601715,1.1393939393939392,-6.117546385579061,1.268181818181818,-inf,1.0,-inf,1.268181818181818,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
Z K,2,1.0957446808510638,-7.0071480228601715,1.1393939393939392,-6.117546385579061,1.268181818181818,-inf,1.0,-inf,1.268181818181818,-inf,1.0,-inf,1.0484848484848484,-inf,1.0,-inf,1.0201342281879195,-inf,1.0,-inf
