word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
x u t1 u1,4,1.0487706955225022,-18.071088986170334,1.0918533809651494,-15.804609274233957,1.5298854074419945,-15.606004438242044,1.5001682797323888,-6.974496399071718,1.199773868606447,-18.304213975539163,1.1839130090251824,-8.710478367541887,1.0147002659357325,-31.410613712476003,1.0064601599542944,-18.664670608855992,1.0027716303533725,-39.02818190818691,1.00231159917639,-21.86246186557551
p1 o1 ɾ a,4,1.1517512331281305,-14.556445046940855,1.1926942331295542,-12.779320281153106,1.5627424059774122,-12.667973084415912,1.3731007203612433,-6.987641232721555,1.7684379387231741,-11.0339804182334,1.498152217367264,-5.650599655407757,1.0492837962115962,-25.447293365569024,1.0148442435127305,-17.28630820404922,1.033839279291478,-28.243304411651657,1.013891557995882,-17.52463174475009
s o ɾ1 a1,4,1.2325259052498758,-11.506738249633575,1.2744235641560537,-11.130144869756862,1.5039341354143738,-15.121969379498225,1.4453583219242923,-7.253542451689461,1.3463560458202268,-15.273712044501655,1.351310111943336,-7.616939278199084,1.0755343979290066,-26.252114249255087,1.019945029063641,-15.713109553615139,1.0186862895274686,-29.43332924061263,1.014468085106383,-16.86894024822847
l1 a1 ɾ e,4,1.1840228654456466,-13.281423254262428,1.2005245702552618,-13.200195918142423,1.5232122968326884,-13.948280822745033,1.4382179183499122,-6.601576768382548,1.7446900779202759,-12.048865986674794,1.5738102331294488,-5.533544153268504,1.0269181484931018,-27.148476740887453,1.0114823045160082,-17.409441547865434,1.0293369667785193,-27.983168187414623,1.0148798901853124,-16.18201037375739
t͡ʃ1 o1 ɲ o,4,2.0929721255687683,-inf,1.083435590094409,-inf,1.6097480385589014,-inf,1.386887052341598,-inf,1.66151598191545,-inf,1.3068231731102968,-inf,1.013057967872275,-inf,1.0008965733163087,-inf,1.0231632130600914,-inf,1.0003514070006865,-inf
s1 u1 t͡ʃ o,4,2.1074064160899324,-inf,1.103431233302827,-inf,1.4493346212592684,-inf,1.2062043795620438,-inf,1.4164395251941544,-inf,1.0445414847161572,-inf,1.0365620496037886,-inf,1.0041718969209186,-inf,1.026074482805313,-inf,1.0011201098146878,-inf
r1 o1 t͡ʃ o,4,2.094745344702329,-inf,1.0899244205820366,-inf,1.461336379989889,-inf,1.2300884955752212,-inf,1.546099075127532,-inf,1.1827956989247312,-inf,1.0224286867490706,-inf,1.001919810972458,-inf,1.0242803281948858,-inf,1.000560054907344,-inf
s1 a1 t e,4,1.1959000879440216,-12.533564287959981,1.1939346927118648,-12.684663539597247,1.7228219700906244,-12.039340036644916,1.6260613308289475,-5.565794775837002,1.7997799993177606,-11.990651169540465,1.5760061080674084,-6.455885189654096,1.0493075780738286,-24.72400357624216,1.0221993760814536,-15.857521666613916,1.035565729954342,-27.17709440397785,1.0212107069320524,-16.24848987371439
r u g1 u1,4,1.039235460559018,-18.759155790907485,1.1205943198010506,-14.743577899909074,1.2083527993043308,-16.935792011805432,1.1355199039894859,-10.160462821918879,1.2345894290662693,-17.45526431236109,1.177776354881672,-9.70397695239994,1.0533692209535261,-31.679369911714506,1.0030085156552335,-20.779007526386444,1.0068465616973379,-38.86729904974598,1.001334248455731,-23.547159725426532
t͡ʃ1 e1 t͡ʃ o,4,3.1045386762512903,-inf,1.0823230182813932,-inf,1.2229080932784637,-inf,1.0,-inf,1.3549635850665966,-inf,1,-inf,1.0121700056169256,-inf,1.0,-inf,1.0228923972698383,-inf,1,-inf
