word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
b o j ɯ ʒ,5,1.110519809575578,-20.843495342097082,1.2260955689867723,-17.757822394380586,1.922149499912709,-inf,1.267143053609606,-inf,1.5015020203609555,-inf,1.184860044326704,-inf,1.0813348846043755,-inf,1.015232344142505,-inf,1.0131589868183775,-inf,1.005136574292021,-inf
l i n u v,5,1.1679715240090829,-18.466975061018214,1.2201418751847661,-17.767670569364522,1.234571816969891,-inf,1.1502394762791792,-inf,1.1666578822937412,-24.951618240796765,1.155070318094318,-15.428095220129983,1.0186181300032606,-inf,1.0121904544298916,-inf,1.0078621928123563,-46.13966029085936,1.0093002332904415,-29.790142703131735
b e j o ʒ,5,1.1604229315892371,-19.97163859556905,1.3023238820005048,-17.688619894260192,1.9396143703966167,-16.220348147048206,1.2830426236924228,-12.816332935303288,1.6441652520268437,-16.470032923117923,1.333620305640712,-12.083477111723344,1.089609455778832,-33.90896804130839,1.0234430212856789,-24.297126433501326,1.0178597028664558,-39.162738507731355,1.0116540606136688,-25.29003667416543
ɟ e j ø z,5,1.1375229044107975,-22.82835379958052,1.235195590882307,-23.659287012020094,1.6549609676953456,-inf,1.1532821300563234,-inf,1.3967135587728996,-inf,1.1514523266250207,-inf,1.0194833691206422,-inf,1.009898018351088,-inf,1.0073868395041234,-inf,1.0044984255510572,-inf
b i f e ʒ,5,1.1941680328946789,-19.56510509226675,1.2770233897314918,-17.581583488313093,2.023911914628224,-16.743601120975086,1.3756601856905708,-13.29879542869931,1.7075765755923589,-17.233656594746645,1.4239637111022454,-12.61956829060075,1.0832876794999275,-34.32518460928818,1.0171636142826754,-24.713343001481107,1.0167656357284602,-39.51982867605778,1.0101371496720335,-25.647126842491854
ɟ y d o n,5,1.119260746442693,-21.99388355485576,1.1962433826356678,-21.054050135783562,1.6294487207016641,-inf,1.2951965965850694,-inf,1.5600314029261662,-22.032124077243957,1.2926459352499287,-12.177336309348481,1.0342235850540757,-inf,1.0079719201002924,-inf,1.0170448114809143,-46.7470746211441,1.007448555796169,-30.578583253241753
t͡ʃ ø z y z,5,1.079282138504835,-21.128620852346465,1.1286143668362545,-18.507895329265857,1.712640117915229,-17.021832073305905,1.185442984321168,-12.666326207462703,1.4993627442435407,-17.361344872511363,1.2379743872704159,-11.859986677898998,1.0429459743898915,-35.529727402571766,1.004828700340673,-27.13508193226532,1.01062376917447,-41.21103271390221,1.0034627415288369,-28.892192416521695
b o ʒ ɯ ʒ,5,1.0863660672797888,-23.550529799079456,1.1847241528742682,-21.06002465425199,1.7736723425523029,-inf,1.1148573412421197,-inf,1.4116626306129998,-inf,1.0906826541544814,-inf,1.0737812922006271,-inf,1.0074750485138266,-inf,1.0111066677733092,-inf,1.002291058594608,-inf
n y h e j,5,1.2000859189381121,-16.95498764826872,1.2480014323473068,-16.14973158148505,1.2702279799430523,-19.72044741969527,1.1535156227239,-13.38000187023326,1.2103596754193469,-21.846337471826367,1.151123216332753,-14.427200244531258,1.0293492961441595,-35.87017900118032,1.0076847714838688,-25.63486592318557,1.0084658160609057,-41.52239210913946,1.006078105221312,-27.678123027411758
g ɯ d͡ʒ e n,5,1.1949307826513884,-17.56731557989134,1.281298791538424,-15.43524963830667,1.776207083057613,-15.680668222775815,1.3995970491199816,-11.13754537508331,1.7423964218304402,-14.61749184700327,1.4542744183366714,-9.536142696820065,1.078185888850279,-31.115917861082487,1.019356759110327,-23.92499885934509,1.027849667629949,-34.905874415938996,1.0159118727050185,-23.79203522754967
